timestamp,a,b,membranePot
24746.80471,,,16
24747.41593,,,-84
24748.65433,,,0
24749.6551,,,1
24750.59398,,,3
24751.59403,,,4
24752.58987,,,6
24753.5902,,,7
24754.60621,,,9
24755.60664,,,10
24756.32331,,,12
24757.32387,,,13
24758.3281,,,15
24758.79744,,,-85
24759.32886,,,-84
24760.90099,,,0
24761.90138,,,1
24762.57875,,,3
24763.57974,,,4
24764.56239,,,6
24765.56257,,,7
24766.02695,,,9
24767.02749,,,10
24768.4724,,,12
24769.47329,,,13
24770.44511,,,15
24770.4775,,,16
24771.44573,,,-84
24772.08179,,,0
24773.08269,,,1
24774.42695,,,3
24775.42725,,,4
24776.48247,,,6
24777.48248,,,7
24778.25571,,,9
24779.25657,,,10
24780.61528,,,12
24781.61543,,,13
24782.40588,,,15
24782.62144,,,16
24783.40625,,,-84
24784.69376,,,0
24785.69441,,,1
24786.76781,,,3
24787.76865,,,4
24788.48545,,,6
24789.48643,,,7
24790.428,,,9
24791.42849,,,10
24792.37773,,,12
24793.37856,,,13
24794.38351,,,15
24794.66757,,,-85
24795.38389,,,-84
24796.2949,,,0
24797.29587,,,1
24798.11363,,,3
24799.11423,,,4
24800.70777,,,6
24801.70836,,,7
24802.45507,,,9
24803.4551,,,10
24804.60852,,,12
24805.60952,,,13
24806.61272,,,15
24806.62263,,,-85
24807.61366,,,-84
24808.62837,,,0
24809.62884,,,1
24810.23863,,,3
24811.23887,,,4
24812.80991,,,6
24813.81083,,,7
24814.59953,,,9
24815.60048,,,10
24816.26596,,,12
24817.26665,,,13
24818.27071,,,15
24818.84897,,,-85
24819.27111,,,-84
24820.17446,,,0
24821.17486,,,1
24822.55211,,,3
24823.55284,,,4
24824.83309,,,6
24825.83353,,,7
24826.72428,,,9
24827.72523,,,10
24828.22819,,,12
24829.22906,,,13
24830.0113,,,15
24830.23397,,,16
24831.01177,,,-84
24832.36786,,,0
24833.36798,,,1
24834.11898,,,3
24835.11949,,,4
24836.87189,,,6
24837.87281,,,7
24838.16398,,,9
24839.16466,,,10
24840.95358,,,12
24841.9537,,,13
24842.34274,,,15
24842.95904,,,16
24843.34345,,,-84
24844.16249,,,0
24845.16305,,,1
24846.55503,,,3
24847.55552,,,4
24848.95844,,,6
24849.95902,,,7
24850.73429,,,9
24851.73469,,,10
24852.46636,,,12
24853.46636,,,13
24854.47198,,,15
24854.74429,,,-85
24855.47297,,,-84
24856.02217,,,0
24857.02315,,,1
24858.37435,,,3
24859.37467,,,4
24860.43883,,,6
24861.43962,,,7
24862.11541,,,9
24863.11598,,,10
24864.90264,,,12
24865.90339,,,13
24866.43899,,,15
24866.90817,,,16
24867.439,,,-84
24868.71783,,,0
24869.71848,,,1
24870.82776,,,3
24871.82856,,,4
24872.98763,,,6
24873.98784,,,7
24874.63067,,,9
24875.63129,,,10
24876.97772,,,12
24877.97787,,,13
24878.31497,,,15
24878.98225,,,16
24879.31563,,,-84
24880.15442,,,0
24881.15477,,,1
24882.8058,,,3
24883.80583,,,4
24884.43677,,,6
24885.4369,,,7
24886.63784,,,9
24887.6379,,,10
24888.95793,,,12
24889.9589,,,13
24890.08708,,,15
24890.96309,,,16
24891.08712,,,-84
24892.48831,,,0
24893.48914,,,1
24894.3766,,,3
24895.37749,,,4
24896.03922,,,6
24897.03929,,,7
24898.60908,,,9
24899.60949,,,10
24900.38767,,,12
24901.38822,,,13
24902.39357,,,15
24902.50099,,,-85
24903.39364,,,-84
24904.18759,,,0
24905.18762,,,1
24906.57796,,,3
24907.5786,,,4
24908.5188,,,6
24909.51956,,,7
24910.7156,,,9
24911.71562,,,10
24912.69792,,,12
24913.69812,,,13
24914.70202,,,15
24914.74106,,,-85
24915.70218,,,-84
24916.12335,,,0
24917.12404,,,1
24918.58286,,,3
24919.58348,,,4
24920.18688,,,6
24921.1872,,,7
24922.54475,,,9
24923.54525,,,10
24924.47166,,,12
24925.47265,,,13
24926.47608,,,15
24926.52888,,,-85
